2015 8 29 0 0 0     0.00 16933.70 44433.83 47551.19 21.15 
2015 8 29 0 0 8     0.00 16933.94 44433.83 47551.28 21.15 
2015 8 29 0 0 16     0.00 16933.70 44434.31 47551.64 21.19 
2015 8 29 0 0 24     0.00 16934.18 44433.59 47551.14 21.16 
2015 8 29 0 0 32     0.00 16934.89 44434.07 47551.84 21.17 
2015 8 29 0 0 40     0.00 16934.18 44434.31 47551.81 21.13 
2015 8 29 0 0 48     0.00 16934.66 44434.79 47552.42 21.14 
2015 8 29 0 0 55     0.00 16934.66 44435.51 47553.09 21.12 
2015 8 29 0 1 3     0.00 16935.13 44434.79 47552.59 21.13 
2015 8 29 0 1 11     0.00 16934.89 44435.03 47552.73 21.13 
2015 8 29 0 1 19     0.00 16934.89 44434.79 47552.51 21.16 
2015 8 29 0 1 27     0.00 16935.13 44434.31 47552.15 21.11 
2015 8 29 0 1 35     0.00 16934.18 44435.03 47552.48 21.12 
2015 8 29 0 1 43     0.00 16934.89 44434.07 47551.84 21.14 
2015 8 29 0 1 51     0.00 16935.37 44433.35 47551.34 21.16 
2015 8 29 0 1 59     0.00 16935.13 44433.83 47551.70 21.20 
2015 8 29 0 2 7     0.00 16935.37 44434.31 47552.23 21.14 
2015 8 29 0 2 15     0.00 16935.37 44434.31 47552.23 21.12 
2015 8 29 0 2 22     0.00 16935.37 44434.31 47552.23 21.15 
2015 8 29 0 2 30     0.00 16935.61 44434.31 47552.32 21.14 
2015 8 29 0 2 38     0.00 16935.37 44433.35 47551.34 21.12 
2015 8 29 0 2 46     0.00 16935.61 44433.59 47551.65 21.11 
2015 8 29 0 2 54     0.00 16934.42 44434.55 47552.12 21.12 
2015 8 29 0 3 2     0.00 16935.13 44434.31 47552.15 21.14 
2015 8 29 0 3 10     0.00 16935.37 44433.83 47551.79 21.12 
2015 8 29 0 3 18     0.00 16935.85 44434.79 47552.85 21.11 
2015 8 29 0 3 26     0.00 16936.33 44434.31 47552.57 21.13 
2015 8 29 0 3 34     0.00 16936.33 44434.55 47552.80 21.11 
2015 8 29 0 3 42     0.00 16936.81 44435.27 47553.64 21.11 
2015 8 29 0 3 49     0.00 16936.81 44434.55 47552.97 21.10 
2015 8 29 0 3 57     0.00 16937.29 44434.55 47553.14 21.11 
2015 8 29 0 4 5     0.00 16936.81 44433.83 47552.30 21.14 
2015 8 29 0 4 13     0.00 16937.05 44433.35 47551.94 21.16 
2015 8 29 0 4 21     0.00 16937.52 44433.59 47552.33 21.12 
2015 8 29 0 4 29     0.00 16936.81 44433.59 47552.07 21.11 
2015 8 29 0 4 37     0.00 16937.29 44433.83 47552.47 21.09 
2015 8 29 0 4 45     0.00 16937.05 44433.59 47552.16 21.09 
2015 8 29 0 4 53     0.00 16937.05 44433.12 47551.71 21.11 
2015 8 29 0 5 1     0.00 16936.81 44433.83 47552.30 21.09 
2015 8 29 0 5 8     0.00 16936.81 44433.83 47552.30 21.06 
2015 8 29 0 5 16     0.00 16937.29 44433.83 47552.47 21.08 
2015 8 29 0 5 24     0.00 16936.81 44434.31 47552.74 21.13 
2015 8 29 0 5 32     0.00 16937.29 44434.07 47552.69 21.15 
2015 8 29 0 5 40     0.00 16936.81 44433.83 47552.30 21.11 
